datetime,BTC/USD,SOL/USD
2025-01-24 04:45:00,105149.81,263.84
2025-01-24 05:00:00,105236.51,263.58
2025-01-24 05:15:00,105279.22,263.41
2025-01-24 05:30:00,105378.68,266.02
2025-01-24 05:45:00,105441.44,264.19
2025-01-24 06:00:00,105398.89,265.49
2025-01-24 06:15:00,105384.74,264.9
2025-01-24 06:30:00,105250.62,265.57
2025-01-24 06:45:00,105434.23,266.84
2025-01-24 07:00:00,105284.22,265.52
2025-01-24 07:15:00,105337.56,264.39
2025-01-24 07:30:00,105414.57,264.96
2025-01-24 07:45:00,105546.93,265.37
2025-01-24 08:00:00,105261.18,264.43
2025-01-24 08:15:00,105296.06,264.96
2025-01-24 08:30:00,105065.02,265.62
2025-01-24 08:45:00,105124.0,266.88
2025-01-24 09:00:00,105026.0,267.69
2025-01-24 09:15:00,105281.79,269.35
2025-01-24 09:30:00,106226.6,269.91
2025-01-24 09:45:00,105772.32,268.17
2025-01-24 10:00:00,105583.5,266.93
2025-01-24 10:15:00,105696.25,264.16
2025-01-24 10:30:00,105674.32,261.73
2025-01-24 10:45:00,105889.96,262.32
2025-01-24 11:00:00,105987.1,263.96
2025-01-24 11:15:00,106037.49,264.01
2025-01-24 11:30:00,106050.73,264.1
2025-01-24 11:45:00,105689.06,262.01
2025-01-24 12:00:00,106013.16,262.59
2025-01-24 12:15:00,106547.68,264.13
2025-01-24 12:30:00,106376.09,264.21
2025-01-24 12:45:00,106528.73,264.64
2025-01-24 13:00:00,106723.07,263.88
2025-01-24 13:15:00,106993.2,263.75
2025-01-24 13:30:00,106708.49,263.95
2025-01-24 13:45:00,106371.56,262.91
2025-01-24 14:00:00,106144.17,262.61
2025-01-24 14:15:00,106433.73,262.82
2025-01-24 14:30:00,105940.64,261.3
2025-01-24 14:45:00,105793.67,262.14
2025-01-24 15:00:00,105696.81,261.93
2025-01-24 15:15:00,105239.16,258.95
2025-01-24 15:30:00,105064.66,258.63
2025-01-24 15:45:00,104870.05,257.38
2025-01-24 16:00:00,105102.61,256.85
2025-01-24 16:15:00,105309.8,257.46
2025-01-24 16:30:00,105157.63,258.53
2025-01-24 16:45:00,105143.92,257.64
2025-01-24 17:00:00,105223.53,255.7
2025-01-24 17:15:00,104976.0,255.28
2025-01-24 17:30:00,105239.96,256.53
2025-01-24 17:45:00,104772.97,254.5
2025-01-24 18:00:00,104580.45,253.81
2025-01-24 18:15:00,104593.19,253.52
2025-01-24 18:30:00,104731.64,253.19
2025-01-24 18:45:00,104852.51,253.37
2025-01-24 19:00:00,104527.16,251.53
2025-01-24 19:15:00,104610.47,250.1
2025-01-24 19:30:00,104574.44,248.89
2025-01-24 19:45:00,104408.77,248.25
2025-01-24 20:00:00,104534.83,250.37
2025-01-24 20:15:00,104699.97,252.29
2025-01-24 20:30:00,104750.84,252.46
2025-01-24 20:45:00,104717.38,251.84
2025-01-24 21:00:00,104671.01,252.11
2025-01-24 21:15:00,104670.53,251.02
2025-01-24 21:30:00,104566.88,250.49
2025-01-24 21:45:00,104523.98,250.36
2025-01-24 22:00:00,104496.34,250.24
2025-01-24 22:15:00,104686.91,249.99
2025-01-24 22:30:00,104836.95,251.93
2025-01-24 22:45:00,105165.9,252.71
2025-01-24 23:00:00,104969.31,252.04
2025-01-24 23:15:00,104871.99,251.15
2025-01-24 23:30:00,104795.86,251.5
2025-01-24 23:45:00,104623.54,250.31
2025-01-25 00:00:00,104451.29,248.62
2025-01-25 00:15:00,104595.35,249.66
2025-01-25 00:30:00,104531.19,250.22
2025-01-25 00:45:00,104339.0,248.72
2025-01-25 01:00:00,104405.23,248.67
2025-01-25 01:15:00,104333.78,247.51
2025-01-25 01:30:00,104341.13,247.05
2025-01-25 01:45:00,104292.1,247.22
2025-01-25 02:00:00,104443.31,246.86
2025-01-25 02:15:00,104437.27,246.87
2025-01-25 02:30:00,104368.12,247.38
2025-01-25 02:45:00,104363.34,247.22
2025-01-25 03:00:00,104421.91,249.1
2025-01-25 03:15:00,104326.03,248.72
2025-01-25 03:30:00,104281.5,249.27
2025-01-25 03:45:00,104327.96,249.06
2025-01-25 04:00:00,104273.19,248.68
2025-01-25 04:15:00,104292.09,248.4
2025-01-25 04:30:00,104407.68,248.4
2025-01-25 04:45:00,104356.36,247.85
2025-01-25 05:00:00,104300.57,247.41
2025-01-25 05:15:00,104260.41,246.51
2025-01-25 05:30:00,104425.51,247.46
2025-01-25 05:45:00,104526.1,248.72
2025-01-25 06:00:00,104488.8,248.45
2025-01-25 06:15:00,104432.3,248.36
2025-01-25 06:30:00,104518.01,249.42
2025-01-25 06:45:00,104666.42,249.96
2025-01-25 07:00:00,104575.97,249.32
2025-01-25 07:15:00,104449.97,248.44
2025-01-25 07:30:00,104633.13,248.77
2025-01-25 07:45:00,104741.91,249.66
2025-01-25 08:00:00,104809.12,249.88
2025-01-25 08:15:00,104718.29,250.08
2025-01-25 08:30:00,104738.09,250.34
2025-01-25 08:45:00,104696.81,250.34
2025-01-25 09:00:00,104557.75,249.7
2025-01-25 09:15:00,104592.0,250.8
2025-01-25 09:30:00,104534.73,250.16
2025-01-25 09:45:00,104578.1,250.95
2025-01-25 10:00:00,104926.6,252.44
2025-01-25 10:15:00,104923.68,252.82
2025-01-25 10:30:00,104816.86,253.47
2025-01-25 10:45:00,104903.89,253.67
2025-01-25 11:00:00,104926.41,254.47
2025-01-25 11:15:00,104785.77,255.8
2025-01-25 11:30:00,104625.77,254.87
2025-01-25 11:45:00,104658.47,255.82
2025-01-25 12:00:00,104600.0,254.34
2025-01-25 12:15:00,104760.24,255.61
2025-01-25 12:30:00,104605.01,256.3
2025-01-25 12:45:00,104884.49,257.89
2025-01-25 13:00:00,104860.33,258.01
2025-01-25 13:15:00,105021.33,259.4
2025-01-25 13:30:00,104958.82,259.31
2025-01-25 13:45:00,104970.19,258.53
2025-01-25 14:00:00,105076.59,258.11
2025-01-25 14:15:00,104989.87,259.25
2025-01-25 14:30:00,104984.16,258.38
2025-01-25 14:45:00,105036.46,258.47
2025-01-25 15:00:00,105110.56,257.28
2025-01-25 15:15:00,105064.88,258.49
2025-01-25 15:30:00,105019.89,257.57
2025-01-25 15:45:00,104947.57,257.9
2025-01-25 16:00:00,104900.06,258.41
2025-01-25 16:15:00,104967.41,258.38
2025-01-25 16:30:00,104942.05,257.68
2025-01-25 16:45:00,105092.4,258.14
2025-01-25 17:00:00,105047.88,258.01
2025-01-25 17:15:00,105013.64,258.36
2025-01-25 17:30:00,105042.9,258.52
2025-01-25 17:45:00,105060.25,258.98
2025-01-25 18:00:00,104958.89,259.37
2025-01-25 18:15:00,104960.19,259.21
2025-01-25 18:30:00,104874.99,257.75
2025-01-25 18:45:00,104733.56,256.36
2025-01-25 19:00:00,104725.08,256.51
2025-01-25 19:15:00,104650.0,256.53
2025-01-25 19:30:00,104633.04,255.89
2025-01-25 19:45:00,104583.0,256.04
2025-01-25 20:00:00,104592.89,256.27
2025-01-25 20:15:00,104690.13,256.4
2025-01-25 20:30:00,104611.18,255.86
2025-01-25 20:45:00,104601.76,254.88
2025-01-25 21:00:00,104585.95,254.25
2025-01-25 21:15:00,104679.89,254.71
2025-01-25 21:30:00,104618.04,254.58
2025-01-25 21:45:00,104665.59,255.37
2025-01-25 22:00:00,104756.19,256.96
2025-01-25 22:15:00,104765.11,256.72
2025-01-25 22:30:00,105061.26,259.23
2025-01-25 22:45:00,105046.11,258.33
2025-01-25 23:00:00,105078.28,258.96
2025-01-25 23:15:00,105340.01,259.47
2025-01-25 23:30:00,105168.27,259.2
2025-01-25 23:45:00,105142.67,258.64
2025-01-26 00:00:00,105104.99,258.54
2025-01-26 00:15:00,105020.06,257.89
2025-01-26 00:30:00,105059.92,258.17
2025-01-26 00:45:00,105058.23,257.68
2025-01-26 01:00:00,105058.21,258.66
2025-01-26 01:15:00,105035.0,258.54
2025-01-26 01:30:00,104950.6,258.41
2025-01-26 01:45:00,104970.06,258.17
2025-01-26 02:00:00,104939.39,258.54
2025-01-26 02:15:00,104982.18,259.16
2025-01-26 02:30:00,104986.9,258.88
2025-01-26 02:45:00,104974.62,258.9
2025-01-26 03:00:00,105070.04,258.26
2025-01-26 03:15:00,104963.16,256.63
2025-01-26 03:30:00,104968.06,255.97
2025-01-26 03:45:00,105015.86,256.38
2025-01-26 04:00:00,104941.6,255.46
2025-01-26 04:15:00,104841.67,255.39
2025-01-26 04:30:00,104611.5,255.18
2025-01-26 04:45:00,104615.41,254.88
2025-01-26 05:00:00,104683.1,255.33
2025-01-26 05:15:00,104620.25,254.28
2025-01-26 05:30:00,104495.18,253.07
2025-01-26 05:45:00,104699.65,253.65
2025-01-26 06:00:00,104795.14,254.77
2025-01-26 06:15:00,104695.0,254.45
2025-01-26 06:30:00,104737.51,254.94
2025-01-26 06:45:00,104808.4,255.54
2025-01-26 07:00:00,104713.24,254.59
2025-01-26 07:15:00,104763.75,255.27
2025-01-26 07:30:00,104717.15,255.59
2025-01-26 07:45:00,104889.38,256.93
2025-01-26 08:00:00,104993.49,255.94
2025-01-26 08:15:00,104921.9,255.72
2025-01-26 08:30:00,104927.04,255.71
2025-01-26 08:45:00,104950.46,255.18
2025-01-26 09:00:00,104819.92,254.66
2025-01-26 09:15:00,104833.66,253.78
2025-01-26 09:30:00,104941.38,254.13
2025-01-26 09:45:00,104916.96,255.02
2025-01-26 10:00:00,104972.31,255.89
2025-01-26 10:15:00,104969.71,255.41
2025-01-26 10:30:00,104967.45,255.32
2025-01-26 10:45:00,104956.14,254.52
2025-01-26 11:00:00,104886.46,254.44
2025-01-26 11:15:00,104955.19,255.06
2025-01-26 11:30:00,105011.65,255.65
