datetime,SOL/USD,BTC/USD
2025-02-16 13:30:00,189.35,96849.78
2025-02-16 13:45:00,189.31,96882.82
2025-02-16 14:00:00,188.49,96892.53
2025-02-16 14:15:00,188.26,96946.93
2025-02-16 14:30:00,188.77,97084.03
2025-02-16 14:45:00,189.26,97071.86
2025-02-16 15:00:00,189.02,97087.6
2025-02-16 15:15:00,189.34,97050.01
2025-02-16 15:30:00,188.8,96951.24
2025-02-16 15:45:00,188.36,96921.46
2025-02-16 16:00:00,186.61,96882.74
2025-02-16 16:15:00,187.67,97001.3
2025-02-16 16:30:00,189.49,97178.54
2025-02-16 16:45:00,189.0,97188.65
2025-02-16 17:00:00,188.78,97098.17
2025-02-16 17:15:00,188.17,96909.57
2025-02-16 17:30:00,187.98,96804.06
2025-02-16 17:45:00,188.86,96891.79
2025-02-16 18:00:00,188.53,96348.94
2025-02-16 18:15:00,188.64,96231.99
2025-02-16 18:30:00,188.75,96192.81
2025-02-16 18:45:00,188.29,96119.88
2025-02-16 19:00:00,188.63,96219.24
2025-02-16 19:15:00,188.96,96431.22
2025-02-16 19:30:00,188.98,96371.37
2025-02-16 19:45:00,189.01,96329.36
2025-02-16 20:00:00,189.26,96424.67
2025-02-16 20:15:00,188.51,96247.49
2025-02-16 20:30:00,188.93,96300.58
2025-02-16 20:45:00,189.13,96514.7
2025-02-16 21:00:00,188.81,96427.61
2025-02-16 21:15:00,189.09,96475.33
2025-02-16 21:30:00,188.03,96293.24
2025-02-16 21:45:00,187.15,96228.17
2025-02-16 22:00:00,186.43,96152.68
2025-02-16 22:15:00,186.61,96188.13
2025-02-16 22:30:00,186.27,96174.85
2025-02-16 22:45:00,186.36,96202.26
2025-02-16 23:00:00,185.73,96076.78
2025-02-16 23:15:00,185.5,96227.92
2025-02-16 23:30:00,184.25,96060.38
2025-02-16 23:45:00,183.19,96037.57
2025-02-17 00:00:00,182.57,96236.56
2025-02-17 00:15:00,181.71,96043.22
2025-02-17 00:30:00,182.48,96180.21
2025-02-17 00:45:00,184.15,96254.84
2025-02-17 01:00:00,184.52,96379.77
2025-02-17 01:15:00,184.26,96380.02
2025-02-17 01:30:00,183.53,96359.52
2025-02-17 01:45:00,183.55,96395.63
2025-02-17 02:00:00,182.5,96289.07
2025-02-17 02:15:00,181.93,96170.17
2025-02-17 02:30:00,181.12,95973.72
2025-02-17 02:45:00,181.38,96069.76
2025-02-17 03:00:00,182.63,96199.76
2025-02-17 03:15:00,181.64,96043.55
2025-02-17 03:30:00,182.81,96036.33
2025-02-17 03:45:00,183.95,96151.68
2025-02-17 04:00:00,184.35,96221.06
2025-02-17 04:15:00,184.43,96245.63
2025-02-17 04:30:00,184.88,96308.63
2025-02-17 04:45:00,184.2,96161.52
